level,touches
722.3333333333334,3
732.6000061035156,6
752.3833414713541,3
762.4749959309896,12
767.6999918619791,3
770.2499796549479,3
777.3562545776367,8
785.8083292643229,3
799.1,5
821.2796859741211,16
833.1899963378906,10
843.085710797991,7
852.5208333333334,6
860.5449951171875,5
883.8937530517578,4
974.7000122070312,4
1011.3299926757812,5
