Date,Open,High,Low,Close,Volume,RSI14,MACD,MACD_SIGNAL,MACD_HIST,BB_MID_20,BB_UPPER_20_2,BB_LOWER_20_2,BB_WIDTH_20,ATR14,P,R1,S1,R2,S2,pivot_high,pivot_low,ph_price,pl_price,EMA5,EMA10,STOCH_K,STOCH_D,OBV,SMA50,MFI14,ADX14,RSI28,SMA100,SMA200,EMA100,CCI50,CMF50,BB_UPPER_100,BB_LOWER_100,BB_WIDTH_100
2020-10-05 00:00:00+05:30,2620.0,2728.10009765625,2603.050048828125,2705.800048828125,17412105,0.0,0.0,0.0,0.0,,,,,125.050048828125,,,,,,False,False,,,2705.800048828125,2705.800048828125,,,0.0,,50.0,0.0,0.0,,,2705.800048828125,0.0,0.0,,,
2020-10-06 00:00:00+05:30,2736.0,2736.0,2650.10009765625,2714.300048828125,9846367,0.0,0.6780626780628154,0.1356125356125631,0.5424501424502524,,,,,122.25360979352679,2678.9833984375,2754.916748046875,2629.86669921875,2804.033447265625,2553.933349609375,False,False,,,2708.6333821614585,2707.3455033735795,,,9846367.0,,50.0,0.0,0.0,,,2705.968365659808,0.0,0.0,,,
2020-10-07 00:00:00+05:30,2742.0,2770.0,2703.0,2735.949951171875,9656101,0.0,2.9286388928208,0.6942178070542105,2.234421085766589,,,,,118.30692337970345,2700.1333821614585,2750.166666666667,2664.266764322917,2786.0332845052085,2614.2334798177085,False,False,,,2717.7389051649307,2712.5463120641784,,,19502468.0,,50.0,0.0,0.0,,,2706.562060422423,0.0,0.0,,,
2020-10-08 00:00:00+05:30,2800.0,2885.0,2800.0,2825.699951171875,19839329,0.0,11.81808021329698,2.9189902883027643,8.899089924994216,,,,,120.50286091173356,2736.316650390625,2769.63330078125,2702.63330078125,2803.316650390625,2669.316650390625,True,False,2885.0,,2753.725920500579,2733.1197009928505,,,39341797.0,,50.0,0.0,0.0,,,2708.9212265758774,0.0,0.0,,,
2020-10-09 00:00:00+05:30,2810.0,2829.85009765625,2780.0,2812.949951171875,7739245,93.92957925647323,17.63096922263503,5.861386075169218,11.769583147465813,,,,,115.4562349649133,2836.8999837239585,2873.799967447917,2788.799967447917,2921.8999837239585,2751.8999837239585,False,False,,,2773.4672640576778,2747.634291934491,,,31602552.0,,50.0,0.0,96.16916499538092,,,2710.9812013203527,0.0,0.0,,,
2020-10-12 00:00:00+05:30,2815.5,2854.0,2800.75,2830.0,4623203,94.41760164178925,23.344422122535434,9.357993284642461,13.986428837892973,,,,,111.0129324674195,2807.6000162760415,2835.200032552083,2785.349934895833,2857.4501139322915,2757.7499186197915,False,False,,,2792.311509371785,2762.609875219129,,,36225755.0,,50.0,0.0,96.36241364539039,,,2713.338009214999,0.0,0.0,,,
2020-10-13 00:00:00+05:30,2845.0,2854.89990234375,2812.199951171875,2826.550048828125,4209878,92.7920391366776,27.279531029002555,12.94230083351448,14.337230195488075,,,,,106.13343380345204,2828.25,2855.75,2802.5,2881.5,2775.0,True,False,2854.89990234375,,2803.724355857232,2774.2353613298556,,,32015877.0,,50.0,0.0,95.35306945460313,,,2715.5798317815957,0.0,0.0,,,
2020-10-14 00:00:00+05:30,2842.0,2842.0,2787.550048828125,2809.60009765625,4395936,85.04493573457539,28.69958285905932,16.09375723862345,12.60582562043587,,,,,102.4417564726251,2831.2166341145835,2850.233317057292,2807.533365885417,2873.9165852864585,2788.5166829427085,False,False,,,2805.6829364569044,2780.6653133892,,,27619941.0,,50.0,0.0,90.5220818628553,,,2717.441619224658,0.0,0.0,,,
2020-10-15 00:00:00+05:30,2811.0,2827.75,2727.0,2740.60009765625,6629355,62.25787730579021,23.98082480159337,17.671170751217435,6.309654050375936,,,,,102.32091672458046,2813.050048828125,2838.550048828125,2784.10009765625,2867.5,2758.60009765625,False,False,,,2783.9886568566862,2773.380728710482,,,20990586.0,,50.0,0.0,74.57233203998179,,,2717.9002029559765,0.0,0.0,,,
2020-10-16 00:00:00+05:30,2750.10009765625,2771.64990234375,2731.300048828125,2763.300048828125,5273773,65.53008276524461,21.821328698467823,18.501202340667515,3.3201263578003086,,,,,97.89441220965507,2765.11669921875,2803.2333984375,2702.4833984375,2865.86669921875,2664.36669921875,False,False,,,2777.0924541804993,2771.5478778227807,,,26264359.0,,50.0,0.0,76.01419423151853,,,2718.79920980493,0.0,0.0,,,
2020-10-19 00:00:00+05:30,2774.0,2774.0,2706.60009765625,2711.550048828125,3331194,54.029599168177874,15.752534558429488,17.951468784219912,-2.198934225790424,,,,,95.716232933519,2755.4166666666665,2779.533284505208,2739.183430989583,2795.7665201822915,2715.0668131510415,False,False,,,2755.244985729708,2760.639181641934,,,22933165.0,,50.0,0.0,67.02841269997153,,,2718.655662062815,0.0,0.0,,,
